x,y
0.7667323358713595, -0.019168308396782407
1.1503647303125502, 0.09624088174218315
1.5662105319205581, 0.33584473670198633
1.9495766998562374, 0.3262605825035969
2.2373675523135077, 0.4440658111921607
2.622863532293275, 1.434428411692668
3.042702731483946, 3.548932431712899
3.4622757041691066, 5.538443107395771
3.9744955007720564, 6.0256376124807005
4.5785634417762635, 4.6355359139555965
4.8716788243437525, 7.253208029391409
4.9709813108993135, 8.875725467227522
5.1980725201001015, 10.4950481869975
5.552419998935094, 11.861189500026626
5.969596933070657, 12.725760076673236
6.546509770512752, 13.586337255737185
6.9631542516372935, 14.200921143709074
7.444758000106492, 15.313881049997345
7.9580427027314835, 16.30104893243172
8.407433044033866, 17.28981417389916
8.919386614131302, 17.652015334646723
9.460092646823917, 16.513497683829407
9.902028645971994, 14.002449283850705
