time,i082_ergs_per_cm2_per_s,i082_W_per_m2,i082_ph_flux,f107
1978-04-14,0.034999999999999996,3.5e-05,246671711809.59274,139.1
1978-04-15,0.029,2.9e-05,204385132642.234,141.4
1978-04-16,0.027,2.7e-05,190289606253.11438,137.6
1978-04-17,0.008,8e-06,56382105556.47834,133.4
1978-04-18,0.032,3.2e-05,225528422225.91336,134.1
1978-04-19,0.029,2.9e-05,204385132642.234,139.5
1978-04-20,0.032,3.2e-05,225528422225.91336,138.1
1978-04-21,0.027,2.7e-05,190289606253.11438,138.4
1978-04-22,0.04,4e-05,281910527782.3917,146.4
1978-04-23,0.09899999999999999,9.9e-05,697728556261.4194,162.9
1978-04-24,0.046,4.6e-05,324197106949.7505,159.8
1978-04-25,0.04,4e-05,281910527782.3917,159.1
1978-04-26,0.057,5.7e-05,401722502089.9082,166.7
1978-04-27,0.047,4.7e-05,331244870144.31024,172.8
1978-04-28,0.04,4e-05,281910527782.3917,176.6
1978-04-29,0.09899999999999999,9.9e-05,697728556261.4194,185.2
1978-04-30,0.2,0.0002,1409552638911.9587,182.1
